Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Age,Employment Status,Employment Years,Monthly Income,Existing Debt,Credit Score,Loan Type,Loan Purpose,Collateral Available
LP001034,Male,No,1,Not Graduate,No,1206458.0,0.0,33500000.0,240.0,,Urban,Y,65,Employed,18,208572.5,284846.78,516,Business,Equipment Purchase,Yes
LP001036,Female,No,0,Graduate,No,1177605.0,0.0,25500000.0,360.0,0.0,Urban,N,54,Employed,33,267449.95,399344.85,608,Home,Home Improvement,No
LP001038,Male,Yes,0,Not Graduate,No,1639588.5,0.0,44500000.0,360.0,1.0,Rural,N,40,Employed,8,51769.17,73815.15,707,Personal,Travel,Yes
LP001041,Male,Yes,0,Graduate,,872300.0,1174250.0,38500000.0,,1.0,Urban,Y,26,Employed,4,59412.99,62228.16,738,Personal,Wedding,No
LP001043,Male,Yes,0,Not Graduate,No,2569930.0,0.0,35000000.0,360.0,0.0,Urban,N,35,Employed,14,177043.14,151586.21,533,Personal,Medical Expenses,Yes
LP001047,Male,Yes,0,Not Graduate,No,872300.0,641140.5,39000000.0,360.0,0.0,Semiurban,N,21,Employed,1,339588.41,104276.19,441,Personal,Wedding,No
LP001050,,Yes,2,Not Graduate,No,1128957.5,643153.5,37500000.0,360.0,0.0,Rural,N,21,Employed,3,163642.47,95597.0,610,Business,Working Capital,No
LP001068,Male,Yes,0,Graduate,No,939064.5,755881.5,41000000.0,360.0,1.0,Semiurban,Y,33,Employed,9,162785.35,399941.64,650,Home,Home Renovation,Yes
LP001073,Male,Yes,2,Not Graduate,No,1417823.0,348920.0,,360.0,1.0,Urban,Y,56,Employed,12,137964.44,96800.59,666,Business,Business Expansion,Yes
LP001086,Male,No,0,Not Graduate,No,483791.0,0.0,11500000.0,360.0,1.0,Urban,N,51,Employed,12,206699.28,89838.12,704,Personal,Debt Consolidation,Yes
LP001087,Female,No,2,Graduate,,1258125.0,698846.5,40500000.0,360.0,1.0,Semiurban,Y,48,Employed,30,109876.16,280444.65,636,Personal,Debt Consolidation,No
LP001095,Male,No,0,Graduate,No,1062528.5,0.0,25000000.0,360.0,1.0,Urban,N,47,Employed,8,174823.2,105689.42,689,Personal,Wedding,No
LP001097,Male,No,1,Graduate,Yes,1574166.0,0.0,35500000.0,360.0,1.0,Rural,N,62,Self-Employed,4,124364.47,80872.72,624,Auto,Vehicle Purchase,Yes
LP001098,Male,Yes,0,Graduate,No,1174250.0,559278.5,38000000.0,360.0,1.0,Semiurban,Y,58,Employed,14,189450.01,157231.85,727,Personal,Wedding,Yes
LP001109,Male,Yes,0,Graduate,No,613294.0,446215.0,33500000.0,,0.0,Urban,N,49,Employed,16,162939.71,162067.53,614,Personal,Medical Expenses,No
LP001112,Female,Yes,0,Graduate,No,1230278.5,489494.5,48500000.0,360.0,1.0,Semiurban,Y,21,Employed,3,231811.41,82818.78,713,Auto,Vehicle Repair,No
LP001116,Male,No,0,Not Graduate,No,1257454.0,559614.0,,360.0,1.0,Semiurban,Y,32,Employed,4,173718.75,314104.39,703,Auto,Vehicle Repair,No
LP001119,Male,No,0,Graduate,No,1207800.0,0.0,27000000.0,360.0,1.0,Urban,N,26,Employed,8,344148.66,280013.72,805,Education,Tuition Fees,Yes
LP001120,Male,No,0,Graduate,No,603900.0,406961.5,16000000.0,360.0,1.0,Urban,Y,57,Employed,14,113404.73,464569.54,693,Home,Home Renovation,Yes
LP001123,Male,Yes,0,Graduate,No,805200.0,0.0,25000000.0,360.0,,Urban,Y,53,Employed,29,131204.21,636093.77,562,Personal,Wedding,Yes
LP001131,Male,Yes,0,Graduate,No,1322205.5,783728.0,45000000.0,360.0,1.0,Semiurban,Y,60,Employed,30,239626.37,69969.32,695,Auto,Vehicle Repair,No
LP001136,Male,Yes,0,Not Graduate,Yes,1575172.5,0.0,32000000.0,,1.0,Urban,Y,60,Self-Employed,17,254151.86,158333.11,711,Education,Tuition Fees,No
LP001137,Female,No,0,Graduate,No,1144055.0,0.0,29500000.0,,1.0,Urban,Y,41,Employed,0,179350.14,498823.42,791,Home,Home Purchase,Yes
LP001138,Male,Yes,1,Graduate,No,1895239.5,0.0,15000000.0,360.0,1.0,Urban,Y,54,Employed,25,144743.4,64373.28,572,Personal,Wedding,No
LP001144,Male,Yes,0,Graduate,No,1952945.5,0.0,48500000.0,360.0,1.0,Urban,Y,27,Employed,8,269297.34,186017.9,528,Home,Home Purchase,No
LP001146,Female,Yes,0,Graduate,No,887397.5,,40500000.0,360.0,0.0,Urban,N,41,Employed,5,61031.19,72804.23,625,Personal,Travel,No
LP001151,Female,No,0,Graduate,No,1342000.0,763262.5,48500000.0,360.0,1.0,Semiurban,Y,21,Employed,2,248275.5,106546.86,642,Personal,Wedding,No
LP001155,Female,Yes,0,Not Graduate,No,646844.0,551562.0,33500000.0,360.0,1.0,Semiurban,Y,21,Employed,1,261409.32,402474.21,776,Personal,Debt Consolidation,No
LP001157,Female,No,0,Graduate,No,1035353.0,0.0,40500000.0,360.0,1.0,Semiurban,Y,46,Employed,26,156724.4,154974.85,660,Education,Tuition Fees,No
LP001164,Female,No,0,Graduate,No,1419165.0,0.0,37500000.0,360.0,1.0,Semiurban,N,45,Employed,7,225122.73,565435.82,659,Home,Home Improvement,No
LP001179,Male,Yes,2,Graduate,No,1548668.0,0.0,45000000.0,360.0,1.0,Urban,N,23,Employed,0,217275.01,383941.95,704,Home,Home Improvement,No
LP001194,Male,Yes,2,Graduate,No,908534.0,391528.5,32500000.0,360.0,1.0,Semiurban,Y,53,Employed,10,87822.06,102531.97,649,Personal,Travel,No
LP001195,Male,Yes,0,Graduate,No,715286.0,533780.5,32000000.0,360.0,1.0,Semiurban,Y,49,Employed,15,78889.45,98465.27,743,Auto,Vehicle Repair,Yes
LP001197,Male,Yes,0,Graduate,No,1129293.0,,45500000.0,360.0,1.0,Rural,N,23,Employed,2,128871.79,94002.26,702,Home,Home Improvement,Yes
LP001199,Male,Yes,2,Not Graduate,No,1126273.5,959194.5,48500000.0,360.0,1.0,Urban,Y,36,Employed,9,164510.69,59959.47,741,Business,Working Capital,No
LP001205,Male,Yes,0,Graduate,No,838750.0,1273558.0,40500000.0,360.0,1.0,Urban,Y,26,Employed,2,233954.1,653049.05,639,Education,Tuition Fees,Yes
LP001206,Male,Yes,3+,Graduate,No,1016229.5,0.0,33000000.0,360.0,1.0,Urban,Y,55,Employed,12,77325.77,443235.86,594,Auto,Vehicle Purchase,No
LP001222,Female,No,0,Graduate,No,1397693.0,0.0,39000000.0,360.0,0.0,Semiurban,N,56,Employed,21,192289.82,103044.25,552,Home,Home Improvement,No
LP001228,Male,No,0,Not Graduate,No,1073600.0,756217.0,42500000.0,180.0,0.0,Urban,N,22,Employed,2,303887.2,266633.95,639,Personal,Wedding,No
LP001238,Male,Yes,3+,Not Graduate,Yes,2382050.0,0.0,42000000.0,60.0,1.0,Urban,Y,24,Self-Employed,0,118676.79,436342.78,599,Home,Home Renovation,No
LP001241,Female,No,0,Graduate,No,,0.0,45500000.0,360.0,0.0,Semiurban,N,54,Employed,12,265789.46,136700.89,619,Auto,Vehicle Repair,No
LP001245,Male,Yes,2,Not Graduate,Yes,629062.5,629062.5,32500000.0,360.0,1.0,Semiurban,Y,55,Self-Employed,9,151937.49,372070.33,789,Business,Working Capital,No
LP001248,Male,No,0,Graduate,No,1174250.0,0.0,27000000.0,300.0,1.0,Semiurban,Y,56,Employed,9,237450.91,196749.73,678,Home,Home Purchase,No
LP001250,Male,Yes,3+,Not Graduate,No,1595302.5,0.0,32000000.0,,0.0,Semiurban,N,56,Employed,13,193531.88,534031.02,528,Business,Equipment Purchase,Yes
LP001255,Male,No,0,Graduate,No,1258125.0,0.0,38000000.0,480.0,1.0,Urban,N,33,Employed,5,121343.14,318862.7,809,Home,Home Renovation,No
LP001259,Male,Yes,1,Graduate,Yes,335500.0,1013881.0,37000000.0,360.0,1.0,Urban,N,43,Self-Employed,25,152538.77,113556.68,732,Personal,Debt Consolidation,No
LP001264,Male,Yes,3+,Not Graduate,Yes,1118221.5,726693.0,43500000.0,360.0,,Semiurban,Y,42,Self-Employed,12,247074.27,156720.05,514,Home,Home Purchase,No
LP001265,Female,No,0,Graduate,No,1290333.0,0.0,37000000.0,360.0,1.0,Semiurban,Y,46,Employed,11,177838.1,438364.5,841,Home,Home Purchase,Yes
LP001275,Male,Yes,1,Graduate,No,1337974.0,0.0,17000000.0,240.0,1.0,Urban,Y,64,Employed,6,225615.85,259697.37,617,Personal,Wedding,No
LP001279,Male,No,0,Graduate,No,793793.0,849150.5,45500000.0,360.0,1.0,Semiurban,Y,27,Employed,5,165769.08,15484.03,793,Education,Tuition Fees,Yes
LP001280,Male,Yes,2,Not Graduate,No,1118221.5,671000.0,33000000.0,360.0,,Semiurban,Y,52,Employed,22,209657.76,80299.34,539,Home,Home Renovation,No
LP001282,Male,Yes,0,Graduate,No,838750.0,710589.0,35000000.0,360.0,1.0,Semiurban,Y,30,Employed,11,236820.97,337047.45,671,Personal,Debt Consolidation,No
LP001316,Male,Yes,0,Graduate,No,992409.0,972950.0,44000000.0,360.0,1.0,Semiurban,Y,22,Employed,1,62254.26,146966.9,730,Auto,Vehicle Repair,Yes
LP001319,Male,Yes,2,Not Graduate,No,1098091.5,610610.0,27000000.0,360.0,1.0,Urban,Y,52,Employed,22,291375.58,94551.24,716,Education,Tuition Fees,No
LP001322,Male,No,0,Graduate,No,1386621.5,0.0,41000000.0,360.0,1.0,Semiurban,Y,32,Employed,12,68249.68,337106.4,689,Home,Home Improvement,No
LP001325,Male,No,0,Not Graduate,No,1214510.0,0.0,8500000.0,120.0,1.0,Semiurban,Y,24,Employed,0,196172.75,180567.65,669,Personal,Debt Consolidation,Yes
LP001327,Female,Yes,0,Graduate,No,833382.0,772321.0,46000000.0,360.0,1.0,Semiurban,Y,24,Employed,0,101599.85,218321.98,565,Personal,Travel,Yes
LP001333,Male,Yes,0,Graduate,No,663283.5,334493.5,17000000.0,360.0,1.0,Semiurban,Y,25,Employed,1,83399.91,313832.34,654,Home,Home Purchase,Yes
LP001334,Male,Yes,0,Not Graduate,No,1405074.0,0.0,38500000.0,180.0,1.0,Semiurban,Y,28,Employed,10,141760.94,152930.71,663,Home,Home Improvement,No
LP001343,Male,Yes,0,Graduate,No,590144.5,1188005.5,44000000.0,360.0,1.0,Semiurban,Y,44,Employed,15,202434.34,368993.83,741,Personal,Wedding,Yes
LP001345,Male,Yes,2,Not Graduate,No,1438624.0,1094736.5,44500000.0,180.0,1.0,Urban,Y,34,Employed,5,132251.85,581254.24,673,Home,Home Improvement,No
LP001367,Male,Yes,1,Graduate,No,1023946.0,345565.0,33500000.0,360.0,1.0,Urban,Y,54,Employed,28,158283.95,214143.27,587,Auto,Vehicle Purchase,No
LP001370,Male,No,0,Not Graduate,,2460221.5,0.0,40500000.0,360.0,1.0,Rural,N,57,Employed,14,90026.07,101246.19,715,Personal,Travel,Yes
LP001384,Male,Yes,3+,Not Graduate,No,694820.5,252967.0,31500000.0,480.0,1.0,Semiurban,Y,25,Employed,7,133824.08,53070.68,686,Business,Working Capital,No
LP001385,Male,No,0,Graduate,No,1783518.0,0.0,45500000.0,360.0,1.0,Urban,Y,50,Employed,25,156140.58,131626.74,651,Personal,Debt Consolidation,No
LP001387,Female,Yes,0,Graduate,,982679.5,782721.5,46500000.0,360.0,1.0,Semiurban,Y,23,Employed,4,46144.92,103520.4,717,Personal,Medical Expenses,Yes
LP001398,Male,No,0,Graduate,,1694275.0,0.0,39500000.0,360.0,1.0,Semiurban,Y,49,Unemployed,0,18523.7,493252.58,688,Personal,Debt Consolidation,No
LP001405,Male,Yes,1,Graduate,No,742797.0,469029.0,28500000.0,360.0,,Urban,Y,64,Employed,3,205096.64,305759.0,468,Education,Study Abroad,Yes
LP001430,Female,No,0,Graduate,No,1397693.0,0.0,15000000.0,360.0,1.0,Semiurban,Y,40,Employed,10,104074.69,23994.83,695,Personal,Wedding,Yes
LP001431,Female,No,0,Graduate,No,716963.5,3012790.0,46000000.0,360.0,0.0,Semiurban,Y,48,Employed,9,186800.1,162701.18,535,Auto,Vehicle Purchase,No
LP001432,Male,Yes,2,Graduate,No,992073.5,0.0,,360.0,1.0,Semiurban,Y,61,Employed,29,137091.37,321888.46,746,Personal,Medical Expenses,Yes
LP001443,Female,No,0,Graduate,No,1238666.0,0.0,31000000.0,360.0,,Rural,Y,43,Employed,22,106181.51,110426.63,600,Auto,Vehicle Repair,Yes
LP001473,Male,No,0,Graduate,No,675697.0,647179.5,,360.0,1.0,Urban,Y,37,Employed,8,108362.8,106641.49,783,Education,Tuition Fees,No
LP001478,Male,No,0,Graduate,No,911889.0,0.0,23500000.0,360.0,1.0,Semiurban,Y,33,Employed,12,123319.06,268043.93,747,Home,Home Improvement,No
LP001482,Male,Yes,0,Graduate,Yes,1160494.5,0.0,8500000.0,120.0,1.0,Semiurban,Y,41,Self-Employed,19,115970.24,13119.12,719,Business,Equipment Purchase,No
LP001487,Male,No,0,Graduate,No,1642272.5,0.0,34000000.0,360.0,1.0,Semiurban,Y,35,Employed,0,128084.31,131178.35,770,Home,Home Purchase,Yes
LP001489,Female,Yes,0,Graduate,No,1537596.5,0.0,28000000.0,360.0,1.0,Rural,N,39,Employed,21,402435.52,67929.41,608,Home,Home Improvement,No
LP001491,Male,Yes,2,Graduate,Yes,1112518.0,1174250.0,29500000.0,360.0,1.0,Urban,Y,62,Self-Employed,31,121556.58,343628.21,615,Personal,Wedding,Yes
LP001493,Male,Yes,2,Not Graduate,No,1409100.0,479765.0,43500000.0,360.0,1.0,Rural,N,35,Employed,14,208545.28,588556.1,606,Education,Study Abroad,Yes
LP001507,Male,Yes,0,Graduate,No,905179.0,682407.0,41000000.0,360.0,1.0,Semiurban,Y,54,Employed,1,195327.33,128592.06,683,Auto,Vehicle Purchase,Yes
LP001514,Female,Yes,0,Graduate,No,781715.0,1505053.0,33500000.0,360.0,1.0,Semiurban,Y,34,Employed,12,157253.92,154628.6,774,Business,Business Expansion,Yes
LP001518,Male,Yes,1,Graduate,No,515999.0,478087.5,10000000.0,360.0,1.0,Urban,Y,33,Employed,4,277753.4,228807.61,658,Home,Home Renovation,No
LP001520,Male,Yes,0,Graduate,No,1630530.0,278465.0,42000000.0,360.0,1.0,Semiurban,Y,57,Employed,33,166592.61,270114.46,697,Business,Business Expansion,No
LP001528,Male,No,0,Graduate,No,2105933.5,0.0,39500000.0,360.0,0.0,Rural,N,32,Employed,6,83463.03,727133.33,463,Personal,Debt Consolidation,Yes
LP001532,Male,Yes,2,Not Graduate,No,765275.5,0.0,38000000.0,360.0,1.0,Rural,N,62,Employed,15,143533.66,335124.14,737,Education,Study Abroad,No
LP001535,Male,No,0,Graduate,No,1091717.0,0.0,17000000.0,360.0,1.0,Urban,Y,36,Employed,9,180015.54,152434.35,660,Personal,Wedding,No
LP001546,Male,No,0,Graduate,,999790.0,698846.5,40500000.0,360.0,1.0,Rural,Y,57,Employed,26,55442.76,122764.58,639,Personal,Medical Expenses,No
LP001560,Male,Yes,0,Not Graduate,No,625036.5,349255.5,33000000.0,360.0,1.0,Semiurban,Y,24,Employed,3,205278.5,31866.9,708,Personal,Debt Consolidation,Yes
LP001565,Male,Yes,1,Graduate,No,1036359.5,429440.0,40500000.0,360.0,0.0,Semiurban,N,58,Employed,29,194849.06,167439.46,635,Personal,Debt Consolidation,No
LP001572,Male,Yes,0,Graduate,No,3127866.5,0.0,25000000.0,180.0,1.0,Urban,Y,54,Employed,4,124156.8,141665.31,617,Auto,Vehicle Repair,Yes
LP001577,Female,Yes,0,Graduate,No,1537596.5,0.0,37500000.0,360.0,1.0,Rural,N,58,Employed,20,345420.46,131174.12,664,Home,Home Renovation,No
LP001578,Male,Yes,0,Graduate,No,818284.5,1118221.5,43500000.0,360.0,1.0,Rural,Y,50,Employed,0,126696.8,260671.6,655,Education,Study Abroad,No
LP001579,Male,No,0,Graduate,No,750513.5,0.0,21000000.0,480.0,0.0,Semiurban,N,24,Employed,6,151483.24,238386.78,539,Personal,Debt Consolidation,Yes
LP001581,Male,Yes,0,Not Graduate,,610610.0,593499.5,32000000.0,360.0,1.0,Rural,Y,47,Employed,10,175174.98,595739.98,711,Home,Home Purchase,Yes
LP001586,Male,Yes,3+,,No,1181631.0,0.0,27000000.0,180.0,1.0,Rural,N,41,Employed,20,300509.41,104576.93,756,Personal,Wedding,Yes
LP001603,Male,Yes,0,Not Graduate,Yes,1457412.0,246928.0,29000000.0,360.0,1.0,Semiurban,N,42,Self-Employed,24,63279.13,119723.96,697,Auto,Vehicle Repair,Yes
LP001606,Male,Yes,0,Graduate,No,1173243.5,658922.0,39000000.0,360.0,1.0,Rural,Y,31,Employed,11,202952.14,556331.99,645,Business,Working Capital,Yes
LP001608,Male,Yes,2,Graduate,No,686097.5,543174.5,34000000.0,360.0,1.0,Rural,Y,56,Employed,27,132219.72,393987.52,641,Auto,Vehicle Purchase,Yes
LP001616,Male,Yes,1,Graduate,No,1258125.0,0.0,39000000.0,360.0,1.0,Semiurban,Y,27,Employed,9,202289.59,384032.8,712,Home,Home Renovation,No
LP001630,Male,No,0,Not Graduate,No,782721.5,486810.5,34000000.0,480.0,0.0,Urban,N,43,Employed,10,161234.81,197067.37,583,Education,Study Abroad,No
LP001634,Male,No,0,Graduate,No,642818.0,1698636.5,22500000.0,360.0,,Rural,N,29,Employed,8,182447.78,74440.09,522,Home,Home Renovation,No
LP001636,Male,Yes,0,Graduate,No,1543300.0,0.0,24500000.0,180.0,1.0,Semiurban,Y,37,Employed,14,207359.78,122064.95,696,Auto,Vehicle Purchase,No
LP001639,Female,Yes,0,Graduate,No,1216187.5,0.0,36000000.0,360.0,1.0,Semiurban,Y,59,Employed,7,91031.69,564881.4,667,Personal,Debt Consolidation,No
LP001641,Male,Yes,1,Graduate,Yes,730719.0,0.0,22000000.0,300.0,0.0,Rural,N,60,Self-Employed,10,161040.52,579344.42,527,Home,Home Purchase,No
LP001643,Male,Yes,0,Graduate,No,799496.5,717299.0,19500000.0,360.0,,Rural,Y,43,Employed,7,356563.63,161371.3,605,Auto,Vehicle Purchase,Yes
LP001653,Male,No,0,Not Graduate,No,1638917.5,0.0,16000000.0,360.0,1.0,Rural,Y,49,Employed,4,210299.26,378815.73,655,Business,Working Capital,No
LP001658,Male,No,0,Graduate,No,1294359.0,0.0,25500000.0,360.0,1.0,Semiurban,Y,24,Employed,5,202981.19,46465.45,732,Personal,Travel,Yes
LP001664,Male,No,0,Graduate,No,1406080.5,0.0,40500000.0,360.0,1.0,Rural,Y,50,Employed,20,111992.4,513524.12,685,Personal,Medical Expenses,No
LP001669,Female,No,0,Not Graduate,No,639798.5,793457.5,40500000.0,,1.0,Urban,Y,41,Employed,18,79555.01,338152.57,747,Personal,Wedding,No
LP001671,Female,Yes,0,Graduate,No,1146068.0,944768.0,38000000.0,360.0,,Semiurban,Y,45,Employed,15,222377.77,669213.94,550,Home,Home Renovation,No
LP001674,Male,Yes,1,Not Graduate,No,872300.0,838750.0,30000000.0,360.0,1.0,Semiurban,Y,52,Employed,21,299559.03,693470.2,754,Education,Study Abroad,Yes
LP001688,Male,Yes,1,Not Graduate,No,1174250.0,363346.5,45500000.0,360.0,1.0,Urban,Y,56,Employed,10,269551.53,190347.3,601,Personal,Wedding,No
LP001691,Male,Yes,2,Not Graduate,No,1314153.5,0.0,41500000.0,360.0,1.0,Semiurban,Y,41,Employed,0,167501.51,390799.11,643,Personal,Medical Expenses,Yes
LP001692,Female,No,0,Not Graduate,No,1478884.0,0.0,40500000.0,360.0,1.0,Semiurban,Y,44,Employed,14,115371.5,101319.61,738,Personal,Travel,No
LP001693,Female,No,0,Graduate,No,1088362.0,0.0,27000000.0,360.0,1.0,Urban,Y,58,Employed,0,181865.29,296010.58,763,Business,Equipment Purchase,Yes
LP001698,Male,No,0,Not Graduate,No,1333612.5,849150.5,18500000.0,360.0,1.0,Rural,Y,46,Employed,19,160639.81,256955.0,791,Personal,Medical Expenses,Yes
LP001699,Male,No,0,Graduate,No,831704.5,0.0,20000000.0,360.0,1.0,Urban,Y,58,Employed,8,152523.28,612066.43,720,Personal,Travel,No
LP001702,Male,No,0,Graduate,No,1146739.0,0.0,42500000.0,360.0,1.0,Semiurban,N,45,Employed,18,207825.19,339855.94,741,Auto,Vehicle Purchase,No
LP001711,Male,Yes,3+,Graduate,No,1150765.0,419375.0,43000000.0,360.0,0.0,Semiurban,N,46,Employed,23,125784.23,40449.19,576,Business,Business Expansion,No
LP001715,Male,Yes,3+,Not Graduate,Yes,1913356.5,0.0,43500000.0,360.0,1.0,Rural,Y,63,Self-Employed,21,73470.24,1144306.24,813,Personal,Debt Consolidation,No
LP001716,Male,Yes,0,Graduate,No,1064541.5,1013545.5,46000000.0,360.0,1.0,Urban,Y,47,Employed,2,107860.89,483758.24,601,Auto,Vehicle Purchase,No
LP001720,Male,Yes,3+,Not Graduate,No,1291675.0,329796.5,33500000.0,360.0,1.0,Semiurban,Y,32,Employed,12,193916.64,58342.61,617,Auto,Vehicle Purchase,No
LP001722,Male,Yes,0,Graduate,No,50325.0,603900.0,45500000.0,360.0,1.0,Rural,N,35,Employed,6,217017.16,18802.35,670,Personal,Medical Expenses,Yes
LP001726,Male,Yes,0,Graduate,No,1250408.5,595512.5,44000000.0,360.0,1.0,Semiurban,Y,21,Employed,3,202623.51,318734.77,690,Personal,Medical Expenses,No
LP001732,Male,Yes,2,Graduate,,1677500.0,0.0,24000000.0,360.0,0.0,Semiurban,N,44,Employed,24,188465.94,189735.83,691,Personal,Debt Consolidation,No
LP001734,Female,Yes,2,Graduate,No,1436946.5,799496.5,42500000.0,360.0,,Semiurban,Y,58,Employed,11,147628.92,47569.27,534,Personal,Wedding,No
LP001736,Male,Yes,0,Graduate,No,745145.5,0.0,20000000.0,360.0,0.0,Urban,N,44,Employed,6,85748.65,364644.54,541,Auto,Vehicle Repair,No
LP001743,Male,Yes,2,Graduate,No,1345019.5,576053.5,39000000.0,360.0,1.0,Semiurban,Y,27,Employed,4,91522.99,117470.78,722,Business,Business Expansion,No
LP001744,Male,No,0,Graduate,No,996770.5,936380.5,48500000.0,360.0,1.0,Semiurban,Y,25,Employed,3,64054.29,81896.72,594,Personal,Debt Consolidation,No
LP001750,Male,Yes,0,Graduate,No,2096875.0,0.0,43000000.0,360.0,1.0,Semiurban,Y,27,Employed,1,154135.77,334831.06,708,Education,Study Abroad,Yes
LP001754,Male,Yes,,Not Graduate,Yes,1588592.5,0.0,46500000.0,360.0,1.0,Urban,N,61,Self-Employed,33,264156.82,659311.12,705,Personal,Medical Expenses,Yes
LP001765,Male,Yes,1,Graduate,No,835730.5,689117.0,35000000.0,360.0,1.0,Semiurban,Y,58,Employed,16,149382.02,147175.44,658,Personal,Travel,No
LP001768,Male,Yes,0,Graduate,,1246718.0,0.0,14000000.0,180.0,1.0,Rural,Y,36,Employed,11,143834.37,48186.99,745,Personal,Medical Expenses,Yes
LP001770,Male,No,0,Not Graduate,No,1069909.5,871629.0,40500000.0,,1.0,Rural,Y,58,Employed,4,222839.48,96784.05,673,Personal,Debt Consolidation,No
LP001778,Male,Yes,1,Graduate,No,1058502.5,596854.5,47000000.0,360.0,1.0,Semiurban,Y,25,Employed,2,212081.4,280730.47,719,Auto,Vehicle Repair,No
LP001788,Female,No,0,Graduate,Yes,1161836.5,0.0,41000000.0,360.0,,Urban,Y,55,Self-Employed,26,92596.3,277954.58,573,Personal,Debt Consolidation,No
LP001790,Female,No,1,Graduate,No,1278926.0,0.0,37500000.0,360.0,1.0,Rural,Y,38,Employed,9,102126.89,60813.26,644,Education,Study Abroad,Yes
LP001792,Male,Yes,1,Graduate,No,1112182.5,0.0,32000000.0,360.0,1.0,Semiurban,Y,37,Employed,4,111620.43,462764.38,808,Home,Home Improvement,No
LP001798,Male,Yes,2,Graduate,No,1952274.5,1677500.0,40500000.0,360.0,1.0,Rural,Y,26,Employed,7,99177.47,111829.81,677,Personal,Wedding,No
LP001800,Male,Yes,1,Not Graduate,No,842105.0,665296.5,47000000.0,180.0,1.0,Urban,N,43,Employed,7,219039.97,39231.28,683,Home,Home Improvement,No
LP001807,Male,Yes,2,Graduate,Yes,2096875.0,436150.0,36000000.0,360.0,1.0,Rural,Y,52,Self-Employed,15,358067.3,130828.31,705,Personal,Wedding,No
LP001811,Male,Yes,0,Not Graduate,No,1142713.0,1481903.5,41500000.0,360.0,1.0,Semiurban,Y,56,Employed,26,90807.3,634912.02,850,Personal,Medical Expenses,Yes
LP001813,Male,No,0,Graduate,Yes,2029775.0,1453721.5,40500000.0,180.0,1.0,Urban,N,45,Self-Employed,19,63093.5,536024.84,730,Home,Home Purchase,No
LP001814,Male,Yes,2,Graduate,No,3255356.5,0.0,37500000.0,360.0,1.0,Urban,Y,49,Employed,21,118040.41,464237.55,659,Personal,Debt Consolidation,No
LP001819,Male,Yes,1,Not Graduate,No,2216984.0,0.0,46000000.0,180.0,1.0,Urban,Y,60,Employed,14,133132.55,226393.81,679,Personal,Medical Expenses,No
LP001824,Male,Yes,1,Graduate,No,966911.0,,41500000.0,480.0,1.0,Semiurban,Y,46,Employed,7,124178.51,170723.06,657,Education,Tuition Fees,Yes
LP001825,Male,Yes,0,Graduate,No,606919.5,626714.0,30000000.0,360.0,1.0,Urban,Y,48,Employed,11,305525.97,371844.08,728,Home,Home Purchase,No
LP001836,Female,No,2,Graduate,No,1149758.5,0.0,46500000.0,360.0,1.0,Urban,N,46,Employed,4,224558.87,193653.76,677,Home,Home Improvement,Yes
